platform	reads_per_run_M	read_length	run_time_d	yield_gb	rate_gb_per_dat	reagent_cost	cost_per_gb	hg_30x_cost	cost_per_machine	install_base	max_yield_per_day	max_gb_per_day	hg_per_year	kit
MGI DNBSEQ-T7 4fcells	20000	PE150*	1.00	6000	6000	35000	5	450	1000	20	6000	NA	21900	MGI DNBSEQ-T7 4fcells
MGI DNBSEQ-G400C  CoolMPS 2fcells	3600	PE200*	4.54	1440	317	NA	5	500	360	1	130	NA	475	MGI DNBSEQ-G400C  CoolMPS 2fcells
MGI DNBSEQ-G400RS  HotMPS 2fcells	3600	PE100*	2.25	720	320	NA	5.8	696	360	1	130	NA	475	MGI DNBSEQ-G400RS  HotMPS 2fcells
DNBSEQ-G50 FCL 1fcell	500	PE150*	1.67	150	90	NA	NA	NA	150	NA	60	NA	219	DNBSEQ-G50 FCL 1fcell
DNBSEQ-G50 FCS 1fcell	100	PE150*	1.17	30	26	21600	720	86400	150	1	26	26	95	DNBSEQ-G50 FCS 1fcell
DNBSEQ-E5 1fcell	5	100	0.38	0.5	1	NA	NA	NA	NA	1	1	1	4	DNBSEQ-E5 1fcell
Genapsys 1M Chip	1	150	1.17	0.2	0.2	100	500	60000	9.9	1	30	30	110	Genapsys 1M Chip
Genapsys 16M Chip	10 - 13	300	1.17	3-3.9	NA	299	299	35880	9.9	1	30	30	110	Genapsys 16M Chip
Genapsys 50M read (144M 2023?)	50	PE150*	1.17	15	NA	NA	NA	NA	9.9	1	30	30	110	Genapsys 50M read
Genapsys 100M read (144M 2024?)	100	PE150*	1.17	30	NA	NA	NA	NA	9.9	1	30	30	110	Genapsys 100M read
Genapsys 500M+ Chip (1B+ 2025?)	500	PE250*	NA	250	NA	NA	NA	NA	9.9	1	30	30	110	Genapsys 500M Chip
GeneMind Bio GenoLab M (2021)	1500	PE100*	NA	300	NA	NA	6-9	600-900	NA	NA	NA	NA	NA	GeneMind Bio GenoLab M
QitanTech QNome-9604	120000	10-40000	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	QitanTech QNome-9604
Ultima Genomics UG 100 (4g4-flow runs)	8000-10000	300	0.83	NA	NA	NA	1	100	1500	NA	3000	NA	NA	Ultima Genomics UG 100 (4g4-flow runs)
