platform	reads_per_run_M	read_length	run_time_d	yield_gb_low	yield_gb_high	rate_gb_per_da	reagent_cost	cost_per_gb_max	cost_per_gb_min	hg_30x_cost	cost_per_machine	install_base	max_yield_per_day	max_gb_per_day	hg_per_year	kit
MGI DNBSEQ-T10×4RS 8fcells	230000	PE150*	3.50	70000	70000	20000	70000	NA	1.00	100	NA	6	20000	120,000	73000	MGI DNBSEQ-T10 4RS 8fcells
MGI DNBSEQ-T7 4fcells	20000	PE150*	1.00	1000	6000	6000	35000	NA	5.00	450	1000	20	6000	NA	21900	MGI DNBSEQ-T7 4fcells
MGI DNBSEQ-G400C  CoolMPS 2fcells	3600	PE200*	4.54	55	1440	317	NA	NA	5.00	500	360	1	130	NA	475	MGI DNBSEQ-G400C  CoolMPS 2fcells
MGI DNBSEQ-G400RS  HotMPS 2fcells	3600	PE100*	2.25	55	720	320	NA	NA	5.80	696	360	1	130	NA	475	MGI DNBSEQ-G400RS  HotMPS 2fcells
DNBSEQ-G99 2fcells	160	PE150*	1.00	8	48	48	NA	NA	NA	NA	NA	1	48	NA	175	DNBSEQ-G99 2fcells
DNBSEQ-G50 FCL 1fcell	500	PE150*	1.67	25	150	90	NA	NA	NA	NA	150	NA	60	NA	219	DNBSEQ-G50 FCL 1fcell
DNBSEQ-G50 FCS 1fcell	100	PE150*	1.17	10	30	26	21600	NA	720.00	86400	150	1	26	26	95	DNBSEQ-G50 FCS 1fcell
DNBSEQ-E5 1fcell	5	100	0.38	NA	0.5	1	NA	NA	NA	NA	NA	1	1	1	4	DNBSEQ-E5 1fcell
Genapsys 1M Chip	1	150	1.17	0.2	0.2	0.2	100	1.00	500.00	60000	9.9	1	30	30	110	Genapsys 1M Chip
Genapsys 16M Chip	10 - 13	300	1.17	3	3.9	NA	299	299.00	299.00	35880	9.9	1	30	30	110	Genapsys 16M Chip
Genapsys 50M read (144M 2023?)	50	PE150*	1.17	15	15	NA	NA	NA	NA	NA	9.9	1	30	30	110	Genapsys 50M read
Genapsys 100M read (144M 2024?)	100	PE150*	1.17	30	30	NA	NA	NA	NA	NA	9.9	1	30	30	110	Genapsys 100M read
Genapsys 500M+ Chip (1B+ 2025?)	500	PE250*	NA	250	250	NA	NA	NA	NA	NA	9.9	1	30	30	110	Genapsys 500M Chip
GeneMind GenoCare 1600 (2022)	320	50	1	4	16	16	NA	NA	NA	NA	NA	1	NA	NA	NA	GeneMind GenoCare 1600 (2022)
GeneMind Bio GenoLab M (2021)	1000	PE150*	2	25	300	150	NA	NA	NA	600-900	NA	1	NA	NA	NA	GeneMind Bio GenoLab M
QitanTech QNome-3841	NA	200-2,000,000	NA	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	QitanTech QNome-3841
QitanTech QNome-3841hex	NA	200-2,000,000	NA	18	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	QitanTech QNome-3841hex
Ultima Genomics UG 100 (4g4-flow runs)	8000-10000	300	0.83	625	10000	NA	NA	NA	1.00	100	1500	NA	3000	NA	NA	Ultima Genomics UG 100 (4g4-flow runs)
